question,answer
Apa sifat utama dari raksasa yang diserang di sorga loka,Raksasa tersebut sangat sakti dan tak terkalahkan oleh pasukan para dewa di sorga.
Di mana Dewa Siwa sedang bertapa pada saat penyerangan tersebut,"Pada saat penyerangan tersebut, Dewa Siwa sedang bertapa di Gunung Kailasa, puncak tertinggi dari pegunungan Himalaya."
Apa yang dilakukan Raksasa Mahisasura terhadap sorga loka,Raksasa Mahisasura menduduki sorga loka sehingga para dewa morat-marit berlarian ke mana-mana untuk menyelamatkan diri.
Apa keputusan yang diambil oleh para dewa terkait dengan keadaan di sorga loka,Akhirnya para dewa memutuskan untuk pergi ke puncak Kailasa untuk memberitahukan Dewa Siwa tentang keadaan di sorga loka.
Apa reaksi Dewa Siwa setelah mendengar kabar tentang serangan pasukan raksasa,Dewa Siwa yang sedang meditasi menjadi sangat murka mendengar kabar bahwa sorga telah diobrak-abrik oleh pasukan raksasa raja Mahisasura dan tahta sorga telah diduduki oleh raja Mahisasura.
Apa yang terjadi pada Dewa Siwa akibat kemarahannya,"Saking murkanya, dari kedua belah kening Dewa Siwa muncullah pancaran cahaya yang luar biasa dahsyatnya."
Apa yang terjadi pada kedua belah kening para dewa lainnya,Demikian juga dari kedua belah kening para dewa lainnya muncul cahaya yang menyatu dengan cahaya Dewa Siwa.
Apa yang muncul dari kumpulan cahaya para dewa,"Dari kumpulan cahaya para dewa tersebut muncullah sesosok Dewi yang luar biasa cantiknya, bertangan delapan, yang membuat para dewa sangat senang melihat terciptanya dewi tersebut."
Apa keyakinan para dewa tentang kemampuan sosok Dewi terhadap Mahisasura,"Karena para dewa tahu bahwa musuh mereka tidak dapat dikalahkan oleh para dewa, maka para dewa yakin bahwa Mahisasura akan tunduk dan terkalahkan oleh sosok Dewi yang cantik."
Apa keputusan yang diambil para dewa terkait dengan sosok Dewi yang cantik,Maka sepakatlah para dewa untuk mengirimkan Dewi yang cantik ke medan laga.
Mengapa para dewa perlu menganugerahi Sang Dewi senjata-senjata sakti,"Karena Sang Dewi akan dikirim ke medan perang, para dewa perlu menganugerahi Dewi itu senjata-senjata sakti supaya bisa mengalahkan Mahisasura."
Senjata apa yang diberikan oleh Dewa Siwa kepada Dewi,"Lalu, Dewa Siwa menganugerahkan Tri Sula, Wisnu menganugerahkan Cakra, Brahma menganugerahkan Gada, Indra menganugerahkan Bajra, dan juga dewa-dewa lainnya."
Apa yang dimiliki oleh kedelapan tangan Dewi setelah menerima senjata-senjata mahasakti,Sehingga kedelapan tangan Dewi tersebut berisi senjata mahasakti.
Apa nama yang diberikan kepada Dewi yang baru tercipta dari cahaya para dewa,"Dewi yang baru tercipta dari cahaya para dewa akhirnya diberi nama Dewi Durga yang berarti ""Seorang Dewi yang Sulit Dikalahkan""."
Apa yang dianugerahkan oleh Dewa Siwa kepada Dewi Durga untuk melengkapi sarana perang,"Untuk melengkapi sarana perang, Dewi Durga dianugerahi Singa oleh Dewa Siwa sebagai wahananya ke medan perang untuk melawan pasukan raksasa Mahisasura."
Apa yang diterima Dewi Durga dari para dewa sebelum pergi ke medan perang,"Setelah Dewi Durga dibekali mantra-mantra kesaktian dari para dewa dan siap dengan peralatan perangnya, maka pergilah Dewi Durga dengan wahana Singanya ke medan laga sendirian menantang Mahisasura untuk berperang."
Apa yang dilakukan Dewi Durga untuk memulai tantangan terhadap Mahisasura,"Dengan suara nyaring, Dewi Durga memanggil Mahisasura dan menantangnya untuk berperang, ""Wahai Raja Mahisasura, keluarlah ke medan laga, lawanlah aku bertempur!""."
Apa reaksi awal Mahisasura terhadap tantangan dari Dewi Durga,"Mendengar tantangan seorang perempuan dan melihat betapa cantik perempuan yang menantangnya, Mahisasura awalnya tidak mau melawan."
Apa yang dikatakan Mahisasura kepada Dewi Durga tentang cara bertempur,"Ia pun berkata kepada Dewi Durga, ""O Sang Dewi yang maha cantik, kenapa harus berperang melawanku, apakah tidak lebih baik kalau kita bertempur di tempat tidur (bed-chamber) saja""."
Apa yang dilakukan Dewi Durga setelah mendengar tawaran Mahisasura,"Tertawalah Dewi Durga mendengar tawaran raja raksasa sambil menjawab, ""Hahaha… hanya lelaki yang bisa mengalahkan aku di medan perang berhak bertempur denganku di tempat tidur (bed chamber)""."
Apa reaksi Mahisasura terhadap jawaban Dewi Durga,"Mendengar jawaban Dewi Durga, murkalah Mahisasura atas jawaban Dewi Durga yang merendahkan kesaktiannya."
Apa yang memicu rasa kejantanannya Mahisasura setelah mendengar jawaban Dewi Durga,Rasa kejantanannya sangat tertantang untuk segera menundukkan dan mengalahkan Dewi Durga supaya bisa mengajaknya ke tempat tidur.
Apa yang dilakukan Mahisasura dalam adu kesaktian dengan Dewi Durga,"Dalam adu kesaktian, Mahisasura mengubah wujudnya beberapa kali tetapi tetap dia selalu bisa dikenali dan dilumpuhkan oleh Dewi Durga."
Apa wujud terakhir yang diambil oleh Mahisasura dalam pertarungan,"Terakhir kali, Mahisasura berubah wujud menjadi kerbau yang ganas."
Bagaimana Dewi Durga mengalahkan Mahisasura dalam bentuk kerbau,"Singkat cerita, Dewi Durga dapat mengalahkan Mahisasura dengan memenggal kepala Mahisasura yang berupa kerbau tersebut."
Apa yang dilakukan para dewa setelah Mahisasura dikalahkan oleh Dewi Durga,"Dengan kalahnya Mahisasura, para dewa memuji-muji kesaktian Dewi Durga dengan mantra-mantra pujian."
Apa julukan yang diberikan kepada Dewi Durga setelah mengalahkan Mahisasura,"Sejak saat itu, Dewi Durga diberi julukan Durga Mahisasuramardini, yang berarti ""Dewi Durga yang telah mengalahkan raksasa Mahisasura""."
Apa yang digambarkan tentang Dewi Durga Mahisasuramardini dalam cerita singkat tersebut,"Begitulah cerita singkat tentang terciptanya Durga Mahisasuramardini di India, yang selalu digambarkan sebagai Dewi Durga Mahisasuramardini yang cantik dan selalu dipuja oleh semua lapisan masyarakat sebagai Dewi Pelindung dan Dewi Perang demi kemenangan."
"Mengapa mandir-mandir (candi, kuil, pura) didirikan khusus untuk Dewi Durga Mahisasuramardini","Saking pentingnya peranan Durga Mahisasuramardini, maka dari itu didirikanlah mandir-mandir (candi, kuil, pura) khusus dipakai tempat memuja Durga dengan berbagai julukan tergantung dari perannya dalam memberi penugrahan."
Apa nama hari suci yang khusus untuk memuja Dewi Durga,"Ada hari suci yang khusus untuk memuja Dewi Durga yang disebut Durga Puja, yang biasanya jatuh pada bulan Oktober."
Apa yang biasanya dibuat selama perayaan Durga Puja,"Pada saat Durga Puja, biasanya perayaannya dilakukan dengan membuat pandal yang berisi arca Tri Sakti: Maha Saraswati, Maha Durga, Maha Laksmi."
"Dari Tri Sakti (Dewi Saraswati, Dewi Laksmi, dan Dewi Durga), siapa yang paling banyak dipuja di India","Di antara Tri Sakti: Dewi Saraswati, Dewi Laksmi, dan Dewi Durga, maka Dewi Durgalah yang paling banyak dipuja di India."
Bagaimana Dewi Durga biasanya digambarkan dalam pandal selama perayaan Durga Puja,"Biasanya di dalam pandal ini, Dewi Durga digambarkan sebagai Dewi Durga Mahisasuramardini, di mana arcanya memperlihatkan kekalahan raksasa Mahisasura."
Di mana beberapa arca atau patung Durga Mahisasuramardini ditemukan di Nusantara,"Di Nusantara, beberapa arca atau patung Durga dalam bentuk Durga Mahisasuramardini telah ditemukan di beberapa candi di Jawa Barat pada abad ke-6 Masehi (Hariani Santiko, 1987)."
Di daerah mana arca Durga Mahisasuramardini banyak ditemukan di Nusantara,"Arca Durga Mahisasuramardini banyak ditemukan di Jawa Tengah, terutama pada candi-candi Hindu beraliran Siwa, seperti misalnya di Candi Sambisari, di Candi Prambanan, di mana arca Durga Mahisasuramardini ditemukan di bagian utara candi Siwa."
Mengapa para raja biasanya memuja Durga Mahisasuramardini,Pemujaan terhadap Durga Mahisasuramardini biasanya dilakukan oleh para raja untuk memohon kemenangan dalam perang.
"Selain para raja, kelompok mana saja yang memuja Durga Mahisasuramardini","Tetapi Durga Mahisasuramardini juga dipuja oleh kaum Brahmana, Wesya, dan Sudra untuk mendapatkan perlindungan dari musuh."
Apa yang terjadi dengan kekuasaan kerajaan Hindu di Jawa Tengah pada pertengahan abad ke-9 Masehi,"Setelah pindahnya kekuatan kerajaan Hindu di bawah kekuasaan dinasti Sanjaya dari Jawa Tengah ke Jawa Timur pada pertengahan abad ke-9 Masehi, pemujaan terhadap Durga Mahisasuramardini juga dilaksanakan oleh para raja di Jawa Timur seperti Kediri, Singosari, dan Majapahit."
Di mana saja arca Durga ditemukan di Jawa Timur,"Peninggalan dari arca Durga di Jawa Timur ditemukan di beberapa candi Hindu seperti Candi Singosari, Candi Jawi, dan Candi Gedong Songo."
Apa kesamaan ciri-ciri arca Durga Mahisasuramardini di Jawa Timur dengan arca di Jawa Barat dan Jawa Tengah,Arca Durga Mahisasuramardini di Jawa Timur masih punya ciri-ciri yang sama dengan arca di Jawa Barat dan Jawa Tengah.
Apa perubahan radikal yang terjadi pada arca Durga Mahisasuramardini di Jawa Timur dibandingkan dengan arca di Jawa Barat dan Jawa Tengah,"Sedangkan arca Durga Mahisasuramardini yang ditemukan di Jawa Timur telah mulai mengalami perubahan yang radikal, di mana arca Durga Mahisasuramardini digambarkan sebagai Dewi Durga Mahisasuramardini bertaring (Hariani Santiko, 1987)."
Bagaimana penggambaran Dewi Durga Mahisasuramardini di relief Candi Penataran dan Candi Tigawangi berbeda dari arca-arca sebelumnya,"Penggambaran Dewi Durga Mahisasuramardini yang lebih ekstrem ditemukan di relief Candi Penataran dan Candi Tigawangi, di mana Durga telah digambarkan sebagai Dewi Raksasa dengan tubuh tinggi, rambut acak-acakan, bertaring, dan mata melotot."
Apa yang diungkapkan oleh prasasti Anak Wungsu tentang pemujaan Durga di Bali,"Di Bali, berdasarkan prasasti yang dikeluarkan oleh Anak Wungsu (kira-kira abad ke-11 Masehi), banyak menyebutkan pemujaan terhadap Durga."
Apa ciri-ciri khas Durga Mahisasuramardini yang masih ditemukan pada arca di Bali dari zaman Anak Wungsu,Beberapa arca yang kita temukan di Bali pada zaman Anak Wungsu masih menggambarkan ciri-ciri khas Durga Mahisasuramardini tetapi telah terjadi akulturasi dengan budaya lokal.
Di mana arca Durga Mahisasuramardini dengan delapan tangan ditemukan,"Misalnya, arca Durga Mahisasuramardini yang terdapat di Pura Dalem Kutri, Buruan, Gianyar, digambarkan memiliki delapan tangan yang semua memegang senjata."
Apa yang unik tentang senjata yang dipegang oleh salah satu tangan Durga di arca Pura Dalem Kutri,"Tetapi salah satu tangan Durga memegang keris, yaitu senjata khas Bali, dan tiadanya patung Mahisasura dalam Durga Mahisasuramardini di Dalem Kutri."
Apa nama lokal yang diberikan oleh penduduk setempat kepada arca Durga Mahisasuramardini di Pura Samuan Tiga,"Di Pura Samuan Tiga, Bedulu, Gianyar, juga ditemukan beberapa arca Durga Mahisasuramardini, tetapi oleh penduduk setempat arca tersebut dinamakan Ratu Pasek."
Apa nama lokal yang diberikan oleh orang awam kepada arca Durga Mahisasuramardini di Candi Prambanan,"Sama halnya dengan arca Durga Mahisasuramardini di Candi Prambanan, orang awam menyebutnya patung Loro Jongrang."
Bagaimana sosok Durga yang dikenal saat ini berbeda dari Durga Mahisasuramardini tradisional,"Pada saat ini, kalau kita berbicara tentang Durga, yang ada dalam benak kita orang kebanyakan adalah Durga yang disamakan dengan sosok Rangda, yaitu suatu image yang menyeramkan dengan sosok tinggi besar, rambut panjang awut-awutan, mata melotot, lidah menjulur, dan bersemayam di kuburan Ganda Mayu."
Apa faktor-faktor yang mungkin menyebabkan perubahan dari Durga Mahisasuramardini yang cantik menjadi Dewi Durga Raksasi yang menyeramkan,"Berdasarkan bukti tertulis dan bukti visual, saya membuat spekulasi tentang faktor-faktor yang mungkin menyebabkan perubahan/perkembangan radikal Durga Mahisasuramardini dari sosok Dewi Perang yang cantik jelita menjadi Dewi Durga Raksasi yang menyeramkan setelah pindahnya kekuatan kerajaan dari Jawa Tengah ke Jawa Timur (abad ke-10 sampai 15 Masehi) dan di Bali sampai saat ini."
Mengapa sosok Durga Mahisasuramardini sebagai Dewi Perang dianggap ekstrem dan provokatif oleh masyarakat patriarki di Jawa dan Bali,"Sosok Durga Mahisasuramardini sebagai Dewi Perang mungkin dianggap terlalu ekstrem dan terlalu provokatif oleh masyarakat yang menganut sistem patriarki, terutama di Jawa dan Bali, walaupun sebenarnya ada tokoh Sri Kandi yang dianggap anomali dan diterima dalam masyarakat."
Bagaimana Durga Mahisasuramardini digambarkan dalam literatur seperti Ghatotkacasraya dan prasasti seperti Petak dan Trilokyapuri,Pencitraan Durga Mahisasuramardini dalam beberapa literatur (Ghatotkacasraya) dan prasasti (Petak dan Trilokyapuri) digambarkan sangat senang menerima persembahan sesajen berupa daging mentah dan darah.
Bagaimana pencitraan Durga Mahisasuramardini dalam prasasti berfungsi sebagai kutukan terhadap pelanggaran aturan,Pencitraan seperti ini ditemukan dalam prasasti bagian kutukan terhadap orang yang berani melanggar aturan-aturan yang diterapkan dalam prasasti untuk menjaga keamanan wilayah atau tanah milik komunal seperti tanah pengempon pura di Bali.
Bagaimana Dewi Durga dikaitkan atau dikelirukan dengan Rangda dalam karya sastra Calonarang,Perkembangan lebih lanjut yang terjadi pada Dewi Durga berdasarkan karya sastra Calonarang adalah Dewi Durga disamakan atau dikelirukan dengan pemuja setianya yaitu Rangda ing Dirah.
Bagaimana Kakawin Sutasoma karya Mpu Tantular menggambarkan Dewi Durga atau Rangda dalam konteks kerajaan Majapahit,Misalnya pada zaman kerajaan di masa lampau seperti yang diceritakan dalam Kakawin Sutasoma karya Mpu Tantular (1365-1389 Masehi) pada masa pemerintahan Raja Hayam Wuruk dari zaman Majapahit.
Bagaimana Raja-raja yang dibantu oleh para pandita (Siwa-Buda) menyembah Dewi Durga untuk memenangkan peperangan,Raja-raja yang dibantu oleh para pandita (Siwa-Buda) menyembah Durga sebagai Dewi Perang supaya bisa memenangkan peperangan.
Bagaimana Raja Sutasoma dan Raja Purosada digambarkan menyembah Dewi Durga sebelum berangkat ke medan perang dalam cerita Sutasoma,Dalam cerita Sutasoma juga dipaparkan bahwa baik Raja Sutasoma (Buda) maupun Raja Purosada (Siwa) menyembah Durga sebelum ke medan perang.
Bagaimana Dewi Durga digambarkan sebagai dewi yang maha pengasih dan penyayang menurut Zoetmulder (1974),"Durga sebagai dewi yang maha pengasih dan penyayang, tentu memberikan anugerah kepada siapapun yang memujanya dengan khidmat (Zoetmulder 1974: 331)."
Bagaimana Dewi Durga digambarkan berbagi kasih dengan Dewa Brahma dalam versi kidung Sudamala,"Di samping dipuja-puja untuk memenangkan perang, Dewi Durga juga dituduh berbagi kasih dengan Dewa Brahma seperti yang dipaparkan dalam versi kidung Sudamala (digubah antara 1365-1406 Masehi) pada zaman pemerintahan raja-raja Majapahit di Jawa Timur."
"Bagaimana pertemuan antara Sang Hyang Tunggal, Sang Hyang Asihprana, dan Sang Hyang Wisesa di istana Ida Bhatara Guru digambarkan","Diceritakan bahwa Sang Hyang Tunggal, Sang Hyang Asihprana, dan Sang Hyang Wisesa mengadakan pertemuan di istana Ida Bhatara Guru, rajanya para dewa."
"Apa yang dibicarakan dalam pertemuan antara Sang Hyang Tunggal, Sang Hyang Asihprana, dan Sang Hyang Wisesa mengenai Dewi Sri Uma","Mereka membicarakan kelakuan yang menyimpang dari Dewi Sri Uma, istri Bhatara Guru (Dewa Siwa)."
Bagaimana Dewi Uma dituduh berselingkuh dengan Dewa Brahma dalam cerita ini,"Di mana Dewi Uma telah dituduh berselingkuh dengan Dewa Brahma, Bhatara Guru sangat murka mendengar kabar perselingkuhan istrinya, Serta merta Bhatara Guru mengutuk istrinya yang cantik menjadi Durga dengan sosok raksasi yang menyeramkan."
Bagaimana sosok Dewi Uma yang terkutuk digambarkan dalam hal penampilan fisik menurut deskripsi tersebut,"Dewi Uma yang terkutuk digambarkan sebagai sosok raksasi berbadan tinggi besar, rambut awut-awutan, mata bagaikan matahari kembar, mulutnya bagaikan goa dengan taring tajam dan panjang, lubang hidungnya bagaikan sumur kembar, dan seluruh tubuhnya penuh dengan bentolan dan loreng."
Bagaimana Dewi Durga digambarkan dalam kidung Sudamala sebagai dewi raksasa dan bagaimana kutukannya mempengaruhi posisinya,"Di dalam kidung Sudamala, tidak hanya dikutuk untuk menjelma menjadi dewi raksasi, Dewi Durga juga diturunkan dari kahyangan dan bersemayam di setra ganda mayu dan memangsa mayat untuk kelangsungan hidupnya."
Bagaimana Dewi Durga raksasi dapat kembali berubah wujud menjadi dewi yang cantik menurut cerita,Dewi Durga raksasi hanya akan bisa kembali berubah wujud menjadi dewi yang cantik apabila telah disupat atau diruwat oleh Dewa Siwa sendiri melalui Sahadewa/Sadewa anak bungsu dari Panca Pandawa.
Bagaimana Dewi Durga menggunakan banyak sisya untuk bertahan hidup dan apa fungsi sisya tersebut,"Untuk bisa tetap bertahan hidup, Dewi Durga mempunyai banyak sisya yang menyebabkan penyakit pada makhluk hidup yang diakhiri dengan kematian."
"Bagaimana Dewi Durga menganugerahi kesaktian kepada orang yang mempelajari ""black-magic""",Dewi Durga akan menganugerahi kesaktian kepada siapapun yang mau mempelajari “black-magic” supaya pemujanya menjadi sakti sehingga lebih banyak santapannya apabila banyak orang yang meninggal akibat ulah dari para sisyanya.
Apa pesan Bhatari Durga kepada pemujanya mengenai pembunuhan orang-orang tanpa dosa,"Tetapi Bhatari Durga juga berpesan kepada pemujanya agar tidak membunuh orang-orang tanpa dosa, “tan wenang kita amati wong tanpa dosa.”"
"Mengapa orang-orang di India, baik sarjana maupun awam, tidak mengetahui cerita tentang perselingkuhan istri Dewa Siwa dengan Dewa Brahma","Ketika saya bertanya pada orang-orang di India mengenai cerita Sudamala tersebut, baik sarjana maupun orang awam tidak mengetahui cerita tentang perselingkuhan istri Dewa Siwa dengan Dewa Brahma yang akhirnya kena kutuk."
Bagaimana cerita Sudamala mencerminkan ide dan norma-norma lokal dalam konteks patriarki,"Cerita Sudamala adalah hasil pemikiran pengawi atau sastrawan Indonesia yang telah disisipi ide dan norma-norma, tradisi lokal untuk memposisikan perempuan di dunia patriarki."
Bagaimana citra perempuan cantik yang awalnya dipuja-puja dapat berubah menjadi perempuan terkutuk,Perempuan cantik adalah sosok yang dipuja-puja dan dalam waktu yang bersamaan juga sangat rentan untuk terkena gosip dan terjadilah perubahan citra dari perempuan pujaan menjadi perempuan terkutuk.
Bagaimana proses ruwat atau peristri dapat mengubah citra perempuan dari raksasi menjadi cantik dalam konteks mitologi,Citra perempuan akan kembali cantik apabila telah diruwat (diperistri) oleh laki-laki seperti Dewi Durga yang raksasi menjadi Dewi Uma yang cantik sebagai istri Dewa Siwa.
Bagaimana cerita Rare Angon menggambarkan perselingkuhan Dewi Durga dalam wujud Dewi Uma,"Sedangkan kalau di Bali, perselingkuhan Dewi Durga dalam wujud Dewi Uma dipaparkan dalam cerita Rare Angon."
Bagaimana Dewi Uma dituduh berselingkuh dengan Rare Angon dalam cerita Rare Angon,"Di mana Dewi Uma dituduh berselingkuh dengan seorang pengembala sapi, Rare Angon yang merupakan penjelmaan Dewa Siwa sendiri untuk menguji kesetiaan istrinya, Dewi Uma."
Bagaimana perjalanan mitos dan pemujaan Dewi Durga dimulai,"Mitos dan Pemujaan terhadap Dewi Durga mengalami perjalanan dan proses yang panjang dan berliku mulai dari asal mulanya di India lalu menyebrang samudra luas sampai ke Nusantara, khususnya Jawa dan Bali."
Apa yang menjadi dasar untuk mengambil kesimpulan mengenai sejarah perkembangan Dewi Durga Mahisasuramardini,"Berdasarkan sejarah perkembangan Dewi Durga Mahisasuramardini, bisa kita ambil kesimpulan sebagai berikut:"
Apa tujuan utama pemujaan terhadap Dewi Durga,"Pada dasarnya tujuan pemujaan terhadap Dewi Durga adalah sama seperti tujuan utama penciptaan Dewi Durga Mahisasuramardini yaitu untuk menang di medan perang di dalam melawan musuh, dimana menurut kepercayaan Hindu musuh itu banyak macamnya."
"Apa yang dimaksud dengan ""musuh dalam diri kita sendiri"" menurut pandangan Anda","Bagi saya musuh yang paling sulit dikalahkan adalah musuh dalam diri kita sendiri yang berupa sad ripu (kama: nafsu, lobha: tamak, krodha: kemarahan, moha: kebingungan, mada: mabuk, matsarya: dengki, iri hati)."
"Apa yang dimaksud dengan ""ditaklukkan"" dalam konteks laki-laki dan perempuan cantik","Betapapun garangnya laki-laki, biasanya dia bisa ditaklukkan oleh perempuan cantik."
Mengapa menjadi perempuan cantik dianggap sulit dalam konteks sosial,"Sangatlah susah menjadi perempuan cantik apalagi punya prestasi, akan banyak gossip dan tuduhan miring terhadap perempuan tersebut."
"Apa yang dimaksud dengan ""diruwat"" dalam konteks perempuan dan kecantikan",Perempuan akan bisa kembali cantik apabila diruwat oleh laki-laki.